X,Y,U,Pb,Mo
-62.46080752,50.65710061,1.3,8.48,0.85
-62.35076334,50.57644603,1.2,5.05,1.15
-62.33176462,50.57466583,1.0,8.78,0.64
-62.90209728,50.3659359,77.9,5.11,10.02
-62.05812243,50.38248907,1.3,5.16,0.33
-62.57591516,50.56845422,2.4,3.32,0.74
-62.88398812,50.41178585,8.3,5.64,1.0
-62.38483682,50.6354106,1.7,4.8,0.46
-62.44875147,50.59928116,1.6,2.65,0.9
-62.35076334,50.57644603,1.2,5.05,1.15
-62.72663346,50.43751351,2.1,3.63,2.09
-62.78410304,50.54834183,1.4,4.73,1.06
-62.61387222,50.38152449,2.5,10.86,1.26
-62.48925729,50.5069611,1.7,4.08,1.54
-62.51029035,50.29056908,0.7,5.27,0.18
-62.99307213,50.33899638,3.2,6.88,0.66
-62.44917112,50.25863771,6.5,8.85,1.04
-62.488296,50.40532234,2.1,4.04,0.68
-62.31118718,50.70145782,3.1,4.84,3.04
-62.98404996,50.42434343,4.8,5.22,1.27
-62.35287485,50.40770569,3.7,8.6,1.16
-62.14864514,50.52789278,13.9,3.9,3.29
-62.96891445,50.31974626,6.9,4.55,0.67
-62.5701946,50.7004432,2.1,4.18,0.94
-62.37905504,50.51496018,2.0,5.52,1.56
-62.51029035,50.29056908,0.7,5.27,0.18
-62.72407655,50.50186383,2.3,6.96,0.78
-62.00781511,50.52902622,0.05,4.91,0.2
-62.77904708,50.57312658,1.2,13.52,0.69
-62.90458177,50.66190603,2.4,3.79,0.85
-62.78057445,50.56657344,3.0,6.21,0.4
-62.63589284,50.35281626,1.3,5.98,0.64
-62.5701946,50.7004432,2.1,4.18,0.94
-62.37905504,50.51496018,2.0,5.52,1.56
-62.00781511,50.52902622,0.05,4.91,0.2
-62.64646289,50.57588428,5.8,3.82,1.61
-62.09150702,50.48366271,15.4,7.5,1.97
-62.65212284,50.50343374,5.2,4.07,0.69
-62.46972039,50.55650777,5.0,7.33,2.99
-62.53455841,50.73852659,2.3,2.82,0.97
-62.29641234,50.47716742,2.3,9.71,1.48
-62.39446895,50.37942011,1.2,5.3,0.38
-62.78623273,50.39869677,4.8,6.76,2.28
-62.9332209,50.60036838,3.6,4.88,5.77
-62.6400681,50.71066208,2.1,3.23,0.7
-62.21164206,50.28523992,0.1,3.0,5.0
-62.20126195,50.45317027,0.05,8.71,0.04
-62.52115904,50.5792137,3.8,4.3,0.62
-62.24601158,50.50032472,7.1,4.59,1.13
-62.58136507,50.50316484,2.2,4.97,0.41
-62.81183522,50.68373616,5.1,7.0,5.0
-62.87613764,50.5724699,1.6,2.8,0.88
-62.85543548,50.68298902,1.7,2.0,0.38
-62.82312288,50.61810457,5.1,3.87,1.86
-62.7105826,50.62165649,2.1,3.67,1.37
-62.44508112,50.55090708,1.8,6.87,0.56
-62.51029035,50.29056908,0.7,5.27,0.18
-62.53090621,50.56909103,1.8,5.27,0.69
-62.35749561,50.56639291,1.4,3.5,0.58
-62.35287485,50.40770569,3.7,8.6,1.16
